uuid,Members,Answers,Fully specified name:pt_BR,Fully specified name:en,Short name:pt_BR,Short name:en,Data class,Data type,_version:1,_order:100
469f046f-8426-405e-a60a-2ceffb5c7dc3,,,PS Mutamba - 1080708,PS Mutamba - 1080708,PS Mutamba - 1080708,PS Mutamba - 1080708,Misc,N/A,,
76c7e97e-dad2-4da8-ade0-f370fa78c9f0,,,PS Mutange - 1041416,PS Mutange - 1041416,PS Mutange - 1041416,PS Mutange - 1041416,Misc,N/A,,
5fd60f64-c7f6-4bb2-a275-15303bbe2def,,,PS Mutauanha - 1030111,PS Mutauanha - 1030111,PS Mutauanha - 1030111,PS Mutauanha - 1030111,Misc,N/A,,
3169c061-4a50-454c-9c93-1a1feefbc6d8,,,PS Médico Militar - 1041123,PS Médico Militar - 1041123,PS Médico Militar - 1041123,PS Médico Militar - 1041123,Misc,N/A,,
7abc5d9d-8e7e-4be7-99d3-52aef69398fe,,,PS Médico Militar - 1041420,PS Médico Militar - 1041420,PS Médico Militar - 1041420,PS Médico Militar - 1041420,Misc,N/A,,
d72d1610-9766-4fc6-bbda-27efff702df1,,,PS Naciaia - 1041411,PS Naciaia - 1041411,PS Naciaia - 1041411,PS Naciaia - 1041411,Misc,N/A,,
62c5e19f-2490-4b5d-bcc3-29f782bbf676,,,PS Najaca - 1032207,PS Najaca - 1032207,PS Najaca - 1032207,PS Najaca - 1032207,Misc,N/A,,
6986e67d-0f7a-469b-90c7-e42d7d5f389b,,,PS Nambilane - 1032206,PS Nambilane - 1032206,PS Nambilane - 1032206,PS Nambilane - 1032206,Misc,N/A,,
d348db8e-8c31-4f47-807b-6e0240045357,,,PS Nambuzi - 1041017,PS Nambuzi - 1041017,PS Nambuzi - 1041017,PS Nambuzi - 1041017,Misc,N/A,,
4fce2dc3-87c0-4b09-afc0-82496746c706,,,PS Namuaca - 1040437,PS Namuaca - 1040437,PS Namuaca - 1040437,PS Namuaca - 1040437,Misc,N/A,,
